filename,doc_id,path,type,extension,size_Mb,hash,language,pages,sheets,table_count,dpi,noise,img_width,img_height,dpi_estimated,is_low_dpi,skew_angle,requires_ocr,image_count,has_geo_headers,ocr_risk
Interpretation of seismic cross-hole.pdf,Interpretation of seismic cross-hole,data\raw\pdf_scans,pdf_scans,pdf,2.064,a511d0f3a46eba38f0defeec40c948e2,unknown,9.0,,0,72.0,52.025803173222045,1275.0,1650.0,72.0,True,,True,9,False,medium
NPD Oligocene to Pliocene well and borehole data.pdf,NPD Oligocene to Pliocene well and borehole data,data\raw\pdf_scans,pdf_scans,pdf,0.354,6f356bde825c27a37f2bae776ba33be6,unknown,2.0,,0,72.0,,,,72.0,True,,True,2,False,medium
Poseidon 3D Interpretation Report_Rev.pdf,Poseidon 3D Interpretation Report_Rev,data\raw\pdf_scans,pdf_scans,pdf,12.933,0cbbd71bf95f431eefc0c6ba7a3775d2,unknown,43.0,,0,72.0,33.458585479164284,1241.0,1755.0,72.0,True,,True,43,False,medium
Reprocessing of Reflection Seismic Lines Rill and R102.pdf,Reprocessing of Reflection Seismic Lines Rill and R102,data\raw\pdf_scans,pdf_scans,pdf,10.16,4378e106937a7aae50320989ffd94d38,unknown,31.0,,0,72.0,26.915610452940786,1216.0,1620.0,72.0,True,,True,31,False,medium
Seismic evidence for an extensive gas-bearing layer.pdf,Seismic evidence for an extensive gas-bearing layer,data\raw\pdf_scans,pdf_scans,pdf,4.941,669fd5e8c77a5e5b44801fcb3f6c09f4,unknown,21.0,,0,72.0,25.08790605259651,1225.0,1538.0,72.0,True,,True,21,False,medium
Seismic Reflection Profiles Along the Drill Holes.pdf,Seismic Reflection Profiles Along the Drill Holes,data\raw\pdf_scans,pdf_scans,pdf,2.632,90d94e478c8d5dcde6a1e36f396c0e08,unknown,14.0,,0,72.0,51.148877996154226,1314.0,1669.0,72.0,True,,True,14,False,medium
Two-Dimensional Multichannel Seismic Data.pdf,Two-Dimensional Multichannel Seismic Data,data\raw\pdf_scans,pdf_scans,pdf,6.206,cc1f79fdf8394b6a87110d827acb16a1,unknown,25.0,,0,72.0,37.610610376394106,1275.0,1650.0,72.0,True,,True,25,False,medium
Using Machine Learning for Automated Seismic Facies Classification.pdf,Using Machine Learning for Automated Seismic Facies Classification,data\raw\pdf_scans,pdf_scans,pdf,4.97,eb008ce8811923dae520dc884b7a9392,unknown,19.0,,0,72.0,55.45013144632772,2400.0,1350.0,72.0,True,,True,19,False,medium
2D_Simultaneous_Inversion_Bonaparte_Basin_project_report.docx,2D_Simultaneous_Inversion_Bonaparte_Basin_project_report,data\raw\doc_Word,doc_Word,docx,29.164,6ccff570ad019ee232e7afb20dfc800a,en,66.0,,2,149.987,107.81478657928973,789.0,414.0,149.987,True,,False,154,True,low
A decade of marine seismic technology development.docx,A decade of marine seismic technology development,data\raw\doc_Word,doc_Word,docx,0.037,88652dd7f435ee7599ff14b96047c571,en,4.0,,0,,,,,,False,,False,0,True,low
A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm.docx,A Seismic Multi-Attribute on the LightGBM-RFECV Coupling Algorithm,data\raw\doc_Word,doc_Word,docx,0.363,8a00d6347dde724351ea05ea545df4a3,en,13.0,,1,150.0,39.96769383161793,653.0,741.0,150.0,True,,False,16,True,low
Application of seismic inversion constrained geological modeling technology.docx,Application of seismic inversion constrained geological modeling technology,data\raw\doc_Word,doc_Word,docx,5.557,a4127aeaa5578e4f172efb98fb66bf72,en,8.0,,0,96.012,66.989391761265,1965.0,1139.0,96.012,True,,False,7,True,low
Assessing Gas Hydrate Prospects on the North Slope of Alaska.docx,Assessing Gas Hydrate Prospects on the North Slope of Alaska,data\raw\doc_Word,doc_Word,docx,5.621,614a89a5ff4de90499b4aa2404bed1c3,en,36.0,,2,95.9866,99.75187334226568,281.0,244.0,95.9866,True,,False,91,True,low
Elastic seismic inversion and reservoir characterization in the Llanos Basin.docx,Elastic seismic inversion and reservoir characterization in the Llanos Basin,data\raw\doc_Word,doc_Word,docx,4.64,40942eead7cb8c7c3b7b50bcbefbd61a,en,16.0,,0,96.0,45.4829457549603,511.0,567.0,96.0,True,,False,36,True,low
Guidelines for interpreted data.docx,Guidelines for interpreted data,data\raw\doc_Word,doc_Word,docx,0.083,45aa87e101f2a197e238167d4c9b1a02,en,14.0,,1,,,,,,False,,False,0,True,low
